period,ratio,keyword,chunk
2023-01-01,34.51444,멜라토닌,0
2023-02-01,31.38199,멜라토닌,0
2023-03-01,40.5231,멜라토닌,0
2023-04-01,37.80153,멜라토닌,0
2023-05-01,40.50101,멜라토닌,0
2023-06-01,38.53936,멜라토닌,0
2023-07-01,37.39506,멜라토닌,0
2023-08-01,35.83105,멜라토닌,0
2023-09-01,34.76628,멜라토닌,0
2023-10-01,38.83979,멜라토닌,0
2023-11-01,37.08138,멜라토닌,0
2023-12-01,37.33321,멜라토닌,0
2024-01-01,37.39948,멜라토닌,0
2024-02-01,36.90023,멜라토닌,0
2024-03-01,49.40355,멜라토닌,0
2024-04-01,61.80524,멜라토닌,0
2024-05-01,62.15428,멜라토닌,0
2024-06-01,64.66819,멜라토닌,0
2024-07-01,67.52231,멜라토닌,0
2024-08-01,74.21578,멜라토닌,0
2024-09-01,70.16877,멜라토닌,0
2024-10-01,80.29071,멜라토닌,0
2024-11-01,88.9149,멜라토닌,0
2024-12-01,100.0,멜라토닌,0
2023-01-01,2.56251,멜라토닌 부작용,0
2023-02-01,2.4874,멜라토닌 부작용,0
2023-03-01,2.77016,멜라토닌 부작용,0
2023-04-01,2.48299,멜라토닌 부작용,0
2023-05-01,3.15454,멜라토닌 부작용,0
2023-06-01,2.79667,멜라토닌 부작용,0
2023-07-01,2.72156,멜라토닌 부작용,0
2023-08-01,2.87178,멜라토닌 부작용,0
2023-09-01,2.75249,멜라토닌 부작용,0
2023-10-01,3.72006,멜라토닌 부작용,0
2023-11-01,3.2915,멜라토닌 부작용,0
2023-12-01,2.96014,멜라토닌 부작용,0
2024-01-01,3.23407,멜라토닌 부작용,0
2024-02-01,3.34894,멜라토닌 부작용,0
2024-03-01,4.28558,멜라토닌 부작용,0
2024-04-01,4.9969,멜라토닌 부작용,0
2024-05-01,6.11469,멜라토닌 부작용,0
2024-06-01,5.78333,멜라토닌 부작용,0
2024-07-01,6.29583,멜라토닌 부작용,0
2024-08-01,6.59627,멜라토닌 부작용,0
2024-09-01,6.68463,멜라토닌 부작용,0
2024-10-01,7.28549,멜라토닌 부작용,0
2024-11-01,6.18538,멜라토닌 부작용,0
2024-12-01,7.17504,멜라토닌 부작용,0
2023-01-01,0.18997,멜라토닌 효능,0
2023-02-01,0.18114,멜라토닌 효능,0
2023-03-01,0.26066,멜라토닌 효능,0
2023-04-01,0.15463,멜라토닌 효능,0
2023-05-01,0.15021,멜라토닌 효능,0
2023-06-01,0.1723,멜라토닌 효능,0
2023-07-01,0.19439,멜라토닌 효능,0
2023-08-01,0.24741,멜라토닌 효능,0
2023-09-01,0.24299,멜라토닌 효능,0
2023-10-01,0.25183,멜라토닌 효능,0
2023-11-01,0.16347,멜라토닌 효능,0
2023-12-01,0.19881,멜라토닌 효능,0
2024-01-01,0.28276,멜라토닌 효능,0
2024-02-01,0.28717,멜라토닌 효능,0
2024-03-01,0.52575,멜라토닌 효능,0
2024-04-01,0.71573,멜라토닌 효능,0
2024-05-01,0.7069,멜라토닌 효능,0
2024-06-01,1.09127,멜라토닌 효능,0
2024-07-01,1.22382,멜라토닌 효능,0
2024-08-01,1.1708,멜라토닌 효능,0
2024-09-01,1.17964,멜라토닌 효능,0
2024-10-01,1.48449,멜라토닌 효능,0
2024-11-01,1.36962,멜라토닌 효능,0
2024-12-01,1.58169,멜라토닌 효능,0
2023-01-01,6.11027,멜라토닌 젤리,0
2023-02-01,5.24874,멜라토닌 젤리,0
2023-03-01,5.3857,멜라토닌 젤리,0
2023-04-01,6.10144,멜라토닌 젤리,0
2023-05-01,4.91296,멜라토닌 젤리,0
2023-06-01,5.20897,멜라토닌 젤리,0
2023-07-01,6.25165,멜라토닌 젤리,0
2023-08-01,5.99982,멜라토닌 젤리,0
2023-09-01,5.66846,멜라토닌 젤리,0
2023-10-01,6.66696,멜라토닌 젤리,0
2023-11-01,5.44755,멜라토닌 젤리,0
2023-12-01,6.34001,멜라토닌 젤리,0
2024-01-01,7.40037,멜라토닌 젤리,0
2024-02-01,6.60952,멜라토닌 젤리,0
2024-03-01,7.25457,멜라토닌 젤리,0
2024-04-01,5.92029,멜라토닌 젤리,0
2024-05-01,6.99832,멜라토닌 젤리,0
2024-06-01,5.69055,멜라토닌 젤리,0
2024-07-01,7.44013,멜라토닌 젤리,0
2024-08-01,5.69497,멜라토닌 젤리,0
2024-09-01,7.61244,멜라토닌 젤리,0
2024-10-01,6.61836,멜라토닌 젤리,0
