period,멜라토닌,멜라토닌 게임,멜라토닌 부작용,멜라토닌 악몽,멜라토닌 영양제,멜라토닌 젤리,멜라토닌 처방,멜라토닌 효과,멜라토닌 효능
2023-01-01,34.51444,3.26499,2.56251,0.00441,3.46823,6.11027,0.95431,0.49483,0.18997
2023-02-01,31.38199,1.28125,2.4874,0.0265,4.02933,5.24874,1.03384,0.4153,0.18114
2023-03-01,40.5231,3.3887,2.77016,0.01325,4.02933,5.3857,1.01175,0.44181,0.26066
2023-04-01,37.80153,2.06768,2.48299,,4.26791,6.10144,1.18405,0.79526,0.15463
2023-05-01,40.50101,1.09127,3.15454,0.0265,5.14712,4.91296,1.16196,0.9278,0.15021
2023-06-01,38.53936,0.33577,2.79667,,4.59927,5.20897,1.02058,1.25033,0.1723
2023-07-01,37.39506,0.43739,2.72156,0.00441,4.21931,6.25165,1.23707,1.18847,0.19439
2023-08-01,35.83105,0.4153,2.87178,0.01767,4.93947,5.99982,1.27684,1.16196,0.24741
2023-09-01,34.76628,0.30043,2.75249,,4.62136,5.66846,1.42705,1.05593,0.24299
2023-10-01,38.83979,0.44623,3.72006,0.06627,4.9483,6.66696,1.23265,1.18405,0.25183
2023-11-01,37.08138,0.06627,3.2915,0.00441,4.83785,5.44755,1.25033,1.06918,0.16347
2023-12-01,37.33321,0.06627,2.96014,,4.49765,6.34001,0.93664,0.91897,0.19881
2024-01-01,37.39948,0.15463,3.23407,0.03534,5.54033,7.40037,1.05593,1.22824,0.28276
2024-02-01,36.90023,0.03092,3.34894,0.02209,6.08818,6.60952,1.02058,1.17522,0.28717
2024-03-01,49.40355,0.09278,4.28558,0.00883,9.29574,7.25457,1.10011,1.76283,0.52575
2024-04-01,61.80524,0.0265,4.9969,0.01325,11.50039,5.92029,1.35194,3.08827,0.71573
2024-05-01,62.15428,0.58761,6.11469,0.03976,13.48413,6.99832,1.37845,3.15454,0.7069
2024-06-01,64.66819,0.91455,5.78333,0.04418,13.70062,5.69055,1.59936,3.32685,1.09127
2024-07-01,67.52231,0.15463,6.29583,0.0265,13.01581,7.44013,1.59494,3.3887,1.22382
2024-08-01,74.21578,0.19439,6.59627,0.08394,13.50622,5.69497,1.47565,4.15304,1.1708
2024-09-01,70.16877,0.15463,6.68463,0.07952,13.70946,7.61244,1.50658,5.66846,1.17964
2024-10-01,80.29071,0.06627,7.28549,0.11928,14.71237,6.61836,2.01908,6.31792,1.48449
2024-11-01,88.9149,0.11928,6.18538,0.10603,13.96129,5.39895,1.48007,5.4829,1.36962
2024-12-01,100.0,0.05301,7.17504,0.05743,15.99805,5.16037,1.86445,6.44605,1.58169
