period,group,ratio,type,value
2024-01-01,증상_불면증,18.66996,total,all
2024-02-01,증상_불면증,16.28509,total,all
2024-03-01,증상_불면증,15.02483,total,all
2024-04-01,증상_불면증,14.17646,total,all
2024-05-01,증상_불면증,15.47577,total,all
2024-06-01,증상_불면증,14.38674,total,all
2024-07-01,증상_불면증,14.9933,total,all
2024-08-01,증상_불면증,15.2811,total,all
2024-09-01,증상_불면증,13.90225,total,all
2024-10-01,증상_불면증,13.99943,total,all
2024-11-01,증상_불면증,12.38889,total,all
2024-12-01,증상_불면증,11.86679,total,all
2025-01-01,증상_불면증,14.68872,total,all
2025-02-01,증상_불면증,13.55977,total,all
2025-03-01,증상_불면증,13.03623,total,all
2025-04-01,증상_불면증,10.24814,total,all
2025-05-01,증상_불면증,10.62735,total,all
2025-06-01,증상_불면증,9.97827,total,all
2025-07-01,증상_불면증,9.8377,total,all
2025-08-01,증상_불면증,10.72107,total,all
2025-09-01,증상_불면증,10.03612,total,all
2025-10-01,증상_불면증,9.61006,total,all
2025-11-01,증상_불면증,7.2356,total,all
2025-12-01,증상_불면증,7.37415,total,all
2024-01-01,고민_깊은잠,10.54231,total,all
2024-02-01,고민_깊은잠,10.05695,total,all
2024-03-01,고민_깊은잠,10.14922,total,all
2024-04-01,고민_깊은잠,9.11659,total,all
2024-05-01,고민_깊은잠,8.46029,total,all
2024-06-01,고민_깊은잠,7.6741,total,all
2024-07-01,고민_깊은잠,7.46064,total,all
2024-08-01,고민_깊은잠,7.06292,total,all
2024-09-01,고민_깊은잠,7.09155,total,all
2024-10-01,고민_깊은잠,8.14442,total,all
2024-11-01,고민_깊은잠,8.63152,total,all
2024-12-01,고민_깊은잠,10.95507,total,all
2025-01-01,고민_깊은잠,13.12821,total,all
2025-02-01,고민_깊은잠,10.37483,total,all
2025-03-01,고민_깊은잠,10.14633,total,all
2025-04-01,고민_깊은잠,7.02994,total,all
2025-05-01,고민_깊은잠,6.5871,total,all
2025-06-01,고민_깊은잠,5.08618,total,all
2025-07-01,고민_깊은잠,5.19291,total,all
2025-08-01,고민_깊은잠,5.26146,total,all
2025-09-01,고민_깊은잠,5.32828,total,all
2025-10-01,고민_깊은잠,4.84726,total,all
2025-11-01,고민_깊은잠,5.73381,total,all
2025-12-01,고민_깊은잠,5.35836,total,all
2024-01-01,해결_영양제,6.76846,total,all
2024-02-01,해결_영양제,5.7824,total,all
2024-03-01,해결_영양제,6.59173,total,all
2024-04-01,해결_영양제,6.18099,total,all
2024-05-01,해결_영양제,6.4659,total,all
2024-06-01,해결_영양제,5.50038,total,all
2024-07-01,해결_영양제,5.28923,total,all
