period,ratio,group,ingredient
2024-01-01,21.82471,30,테아닌
2024-01-01,20.22875,40,테아닌
2024-02-01,23.66006,30,테아닌
2024-02-01,18.72589,40,테아닌
2024-03-01,26.39978,30,테아닌
2024-03-01,21.50551,40,테아닌
2024-04-01,29.09961,30,테아닌
2024-04-01,24.09894,40,테아닌
2024-05-01,43.94201,30,테아닌
2024-05-01,38.52905,40,테아닌
2024-06-01,68.10746,30,테아닌
2024-06-01,54.63492,40,테아닌
2024-07-01,100.0,30,테아닌
2024-07-01,66.4716,40,테아닌
2024-08-01,51.5228,30,테아닌
2024-08-01,30.29658,40,테아닌
2024-09-01,36.9331,30,테아닌
2024-09-01,28.76712,40,테아닌
2024-10-01,49.63425,30,테아닌
2024-10-01,39.49993,40,테아닌
2024-11-01,36.9863,30,테아닌
2024-11-01,27.37066,40,테아닌
2024-12-01,48.95597,30,테아닌
2024-12-01,81.00811,40,테아닌
2025-01-01,60.02127,30,테아닌
2025-01-01,87.41853,40,테아닌
2025-02-01,28.30163,30,테아닌
2025-02-01,43.31693,40,테아닌
2025-03-01,27.19776,30,테아닌
2025-03-01,39.16744,40,테아닌
2025-04-01,18.3801,30,테아닌
2025-04-01,23.24777,40,테아닌
2025-05-01,18.14071,30,테아닌
2025-05-01,24.33834,40,테아닌
2025-06-01,19.61697,30,테아닌
2025-06-01,28.08884,40,테아닌
2025-07-01,14.736,30,테아닌
2025-07-01,18.03431,40,테아닌
2025-08-01,12.82085,30,테아닌
2025-08-01,12.72775,40,테아닌
2025-09-01,11.11849,30,테아닌
2025-09-01,10.73281,40,테아닌
2025-10-01,9.69543,30,테아닌
2025-10-01,9.46934,40,테아닌
2025-11-01,8.11278,30,테아닌
2025-11-01,9.64223,40,테아닌
2025-12-01,8.36547,30,테아닌
2025-12-01,7.3148,40,테아닌
2024-01-01,43.48462,30,가바
2024-01-01,64.71449,40,가바
2024-02-01,32.06442,30,가바
2024-02-01,56.07613,40,가바
2024-03-01,40.9956,30,가바
2024-03-01,69.69253,40,가바
2024-04-01,34.69985,30,가바
2024-04-01,76.13469,40,가바
2024-05-01,38.36017,30,가바
2024-05-01,67.20351,40,가바
2024-06-01,29.42898,30,가바
2024-06-01,51.68374,40,가바
2024-07-01,35.57833,30,가바
2024-07-01,59.73645,40,가바
2024-08-01,28.25768,30,가바
2024-08-01,40.40995,40,가바
2024-09-01,21.52269,30,가바
2024-09-01,30.89311,40,가바
2024-10-01,19.03367,30,가바
2024-10-01,25.18301,40,가바
2024-11-01,21.6691,30,가바
2024-11-01,26.50073,40,가바
2024-12-01,16.39824,30,가바
2024-12-01,20.64421,40,가바
2025-01-01,22.69399,30,가바
2025-01-01,33.52855,40,가바
2025-02-01,24.59736,30,가바
2025-02-01,49.63396,40,가바
2025-03-01,54.90483,30,가바
2025-03-01,100.0,40,가바
2025-04-01,33.08931,30,가바
2025-04-01,51.53733,40,가바
2025-05-01,20.79062,30,가바
2025-05-01,46.12005,40,가바
2025-06-01,16.39824,30,가바
2025-06-01,29.28257,40,가바
2025-07-01,26.35431,30,가바
2025-07-01,45.24158,40,가바
2025-08-01,14.64128,30,가바
2025-08-01,37.92093,40,가바
2025-09-01,17.86237,30,가바
2025-09-01,30.01464,40,가바
2025-10-01,19.47291,30,가바
2025-10-01,30.60029,40,가바
2025-11-01,8.63836,30,가바
2025-11-01,20.64421,40,가바
2025-12-01,15.22693,30,가바
2025-12-01,20.64421,40,가바
2024-01-01,64.37689,30,락티움
2024-01-01,100.0,40,락티움
2024-02-01,49.60486,30,락티움
2024-02-01,87.72036,40,락티움
2024-03-01,53.31306,30,락티움
2024-03-01,73.49544,40,락티움
2024-04-01,50.21276,30,락티움
2024-04-01,72.462,40,락티움
2024-05-01,47.35562,30,락티움
2024-05-01,76.59574,40,락티움
2024-06-01,42.43161,30,락티움
2024-06-01,57.99392,40,락티움
2024-07-01,45.53191,30,락티움
2024-07-01,54.28571,40,락티움
2024-08-01,36.41337,30,락티움
2024-08-01,40.12158,40,락티움
2024-09-01,31.61094,30,락티움
2024-09-01,31.97568,40,락티움
2024-10-01,23.82978,30,락티움
2024-10-01,34.40729,40,락티움
2024-11-01,17.32522,30,락티움
2024-11-01,26.13981,40,락티움
2024-12-01,19.87841,30,락티움
2024-12-01,19.69604,40,락티움
2025-01-01,17.68996,30,락티움
2025-01-01,25.71428,40,락티움
2025-02-01,20.42553,30,락티움
2025-02-01,24.13373,40,락티움
2025-03-01,15.6231,30,락티움
2025-03-01,20.97264,40,락티움
2025-04-01,11.48936,30,락티움
2025-04-01,15.98784,40,락티움
2025-05-01,11.12462,30,락티움
2025-05-01,12.52279,40,락티움
2025-06-01,14.28571,30,락티움
2025-06-01,13.79939,40,락티움
2025-07-01,11.00303,30,락티움
2025-07-01,13.67781,40,락티움
2025-08-01,6.56534,30,락티움
2025-08-01,7.84194,40,락티움
2025-09-01,4.43768,30,락티움
2025-09-01,5.5927,40,락티움
2025-10-01,6.93009,30,락티움
2025-10-01,10.51671,40,락티움
2025-11-01,7.29483,30,락티움
2025-11-01,8.02431,40,락티움
2025-12-01,4.3161,30,락티움
2025-12-01,5.71428,40,락티움
2024-01-01,2.25134,30,멜라토닌
2024-01-01,2.97118,40,멜라토닌
2024-02-01,2.4892,30,멜라토닌
2024-02-01,3.15271,40,멜라토닌
2024-03-01,6.73524,30,멜라토닌
2024-03-01,12.55242,40,멜라토닌
2024-04-01,12.17685,30,멜라토닌
2024-04-01,25.4825,40,멜라토닌
2024-05-01,21.37834,30,멜라토닌
2024-05-01,40.04214,40,멜라토닌
2024-06-01,21.33661,30,멜라토닌
2024-06-01,36.33233,40,멜라토닌
2024-07-01,18.50105,30,멜라토닌
2024-07-01,32.22192,40,멜라토닌
2024-08-01,22.44455,30,멜라토닌
2024-08-01,44.44258,40,멜라토닌
2024-09-01,22.20668,30,멜라토닌
2024-09-01,38.2853,40,멜라토닌
2024-10-01,37.28587,30,멜라토닌
2024-10-01,64.88826,40,멜라토닌
2024-11-01,28.99409,30,멜라토닌
2024-11-01,49.42516,40,멜라토닌
2024-12-01,50.9963,30,멜라토닌
2024-12-01,87.23892,40,멜라토닌
2025-01-01,45.73622,30,멜라토닌
2025-01-01,76.17,40,멜라토닌
2025-02-01,59.6866,30,멜라토닌
2025-02-01,71.4858,40,멜라토닌
2025-03-01,89.19606,30,멜라토닌
2025-03-01,100.0,40,멜라토닌
2025-04-01,61.05744,30,멜라토닌
2025-04-01,68.00342,40,멜라토닌
2025-05-01,25.78504,30,멜라토닌
2025-05-01,43.72483,40,멜라토닌
2025-06-01,19.95743,30,멜라토닌
2025-06-01,31.75454,40,멜라토닌
